Model: gan_vae | Dataset: degradation | Device: cuda
Output: /home/ze.qian/workspace/aug_diagnosis/outputs/data_aug/degradation/gan_vae/gan_vae_degradation_5feat_netd_v6_20260528_144417

=== Training ===

--- VAE-GAN class: normal (29 windows) ---
Epoch [210/250] | D_loss: 0.733260 | G_loss: 1.878657 | Recon: 0.081523 | MeanMatch: 0.174600 | RandMeanMatch: 0.836575 | KL: 346.073100
Epoch [220/250] | D_loss: 0.676550 | G_loss: 1.944408 | Recon: 0.067222 | MeanMatch: 0.144497 | RandMeanMatch: 0.821758 | KL: 333.026103
Epoch [230/250] | D_loss: 0.704985 | G_loss: 1.824747 | Recon: 0.073107 | MeanMatch: 0.150781 | RandMeanMatch: 0.806715 | KL: 385.469371
Epoch [240/250] | D_loss: 0.700354 | G_loss: 1.811706 | Recon: 0.060553 | MeanMatch: 0.091567 | RandMeanMatch: 0.763839 | KL: 374.303630
Epoch [250/250] | D_loss: 0.663199 | G_loss: 1.764965 | Recon: 0.069644 | MeanMatch: 0.114424 | RandMeanMatch: 0.688550 | KL: 313.198446
Training done. Best checkpoint: /home/ze.qian/workspace/aug_diagnosis/outputs/data_aug/degradation/gan_vae/gan_vae_degradation_5feat_netd_v6_20260528_144417/checkpoint_best.pth

=== Generation ===
Generated samples: /home/ze.qian/workspace/aug_diagnosis/outputs/data_aug/degradation/gan_vae/gan_vae_degradation_5feat_netd_v6_20260528_144417/generated_samples.npy

=== Evaluation ===
Metrics: /home/ze.qian/workspace/aug_diagnosis/outputs/data_aug/degradation/gan_vae/gan_vae_degradation_5feat_netd_v6_20260528_144417/metrics.json

Done.
